pair,entry_date,exit_date,days_held,exit_reason,pnl,pnlcomm,size_s1,entry_price_s1,exit_price_s1,size_s2,entry_price_s2,exit_price_s2
ADSK-DPZ,2024-10-18,2025-03-18,151,Time Stop Loss,6189.408554741836,6075.059658909648,-171.24474436230096,292.99,259.95,22.303071800730464,428.85,452.68
AAPL-MPWR,2024-11-13,2025-04-07,145,Z-Score Reversion,7977.161599831314,7863.208659896789,-230.5986614572063,225.12,181.46,18.527035528491936,601.47,488.62
ABBV-CB,2025-03-11,2025-04-08,28,Z-Score Reversion,7765.550350982638,7602.598344324254,-252.22411014287906,213.59,175.67,114.4995484172715,290.7,274.99
ABBV-CI,2024-12-31,2025-06-02,153,Time Stop Loss,1505.84697473903,1332.045741539497,-298.17319277393295,177.7,186.99,110.06115664372899,276.14,314.99
AFL-PANW,2024-12-31,2025-06-02,153,Time Stop Loss,912.6829628203413,774.4809645922562,-512.2329500766423,103.44,103.8,85.04549029829018,181.96,194.86
AJG-KLAC,2024-12-31,2025-06-02,153,Time Stop Loss,-9876.0358686326,-10017.724186998092,-186.6668182347292,283.85,348.77,16.94659893565607,630.12,762.44
AJG-MPWR,2024-12-31,2025-06-02,153,Time Stop Loss,-10891.792027521144,-11029.969288122202,-186.6668182347292,283.85,348.77,15.938381136661517,591.7,668.66
AAPL-TTD,2025-02-21,2025-07-22,151,Time Stop Loss,8304.2214467468,8179.660121034887,-215.89826333367625,245.55,214.4,164.30702850185037,72.06,81.67
ADSK-ALLE,2025-06-03,2025-07-24,51,Z-Score Reversion,6477.6227475703345,6280.398889040076,-189.3301525049921,299.52,301.1,275.81458642768547,139.1,163.67
AFL-ANET,2025-04-09,2025-07-28,110,Z-Score Reversion,9567.903607357555,9423.613803643379,-537.3127810970068,105.3,100.88,173.11627232030798,76.0,117.55
A-KEYS,2025-06-03,2025-07-30,57,End of Backtest,73.85161671962851,-179.81894883375685,502.9103164091453,112.76,118.33,-418.9491314407509,160.79,167.3
ABBV-ADI,2025-03-04,2025-07-29,147,End of Backtest,4460.272999010282,4318.248372788753,-255.3777368017054,207.76,191.86,87.47636408384498,226.18,230.75
ABBV-CI,2025-06-03,2025-07-29,56,End of Backtest,-3575.962573673314,-3758.27617970338,-302.8473552912963,187.25,191.86,111.78647516822764,311.67,292.17
ABBV-MPWR,2025-03-18,2025-07-29,133,End of Backtest,7586.732552696099,7457.369270204254,-253.23668352416348,213.85,191.86,19.76937580328906,622.29,724.37
ABBV-RJF,2025-07-25,2025-07-29,4,End of Backtest,630.215233819923,412.00590602607684,299.2723921539326,190.28,191.86,-308.55853767981694,168.53,168.02
ABBV-STLD,2025-03-19,2025-07-29,132,End of Backtest,5031.350180710007,4881.766008376763,-255.66279989785096,212.25,191.86,180.71075543001587,128.52,127.515
ADSK-DPZ,2025-06-03,2025-07-30,57,End of Backtest,-1675.152899079556,-1813.5861527974769,-189.3301525049921,299.52,309.51,24.658531863776663,464.53,473.3
AEP-ALLE,2025-04-08,2025-07-30,113,End of Backtest,543.1100558945982,375.5339896813862,-560.0877479212659,101.28,113.93,166.26460477547124,118.52,164.4
AJG-KLAC,2025-07-23,2025-07-30,7,End of Backtest,4587.872939667999,4448.226052720975,-182.74799278120656,310.79,288.08,16.590827278498566,897.09,923.47
AJG-MPWR,2025-07-29,2025-07-30,1,End of Backtest,242.8312131467901,103.90630948512914,-198.1570523574479,288.35,288.08,16.919464612178174,724.37,735.56
